"Document Title",Authors,"Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"The Graph Model for Conflict Resolution and Decision Support","K. W. Hipel; L. Fang","Department of Systems Design Engineering, University of Waterloo, Waterloo, Canada; Department of Mechanical and Industrial Engineering, Ryerson University, Toronto, Canada","IEEE Transactions on Systems, Man, and Cybernetics: Systems","12 Jan 2021","2021","51","1","131","141","A survey of the design, development and implementation of a flexible decision technology called the graph model for conflict resolution (GMCR) is discussed for systematically investigating real world conflicts within a system of systems engineering outlook. This encompassing GMCR methodology has been constructed during the past three decades by the authors, their colleagues and students from many countries for addressing a rich range of conflict situations. GMCR can be used for studying large and small conflicts and includes methods for preference elicitation, preference uncertainty (unknown, fuzzy, grey numbers and probabilistic). Many kinds of definitions exist for possible human behavior under pure competition which can be transformed for utilization in coalition analysis. GMCR can handle emotions, attitudes, and misperceptions. Within inverse GMCR, one can calculate the preferences needed by decision makers (DMs) to reach a desirable equilibrium. Under behavioral GMCR one can ascertain the strategic thinking of DMs when the input and output are known. Decision support systems can be built for implementing the array of GMCR advancements. Future expansions of GMCR can be guided by key characteristics of actual disputes. Artificial intelligence (AI) GMCR is a promising subfield of study within GMCR.","2168-2232","","10.1109/TSMC.2020.3041462","Natural Sciences and Engineering Research Council of Canada under Discovery(grant numbers:RGPIN-2018-04345); Discovery(grant numbers:RGPIN-2017-04379); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9305262","Decision making;decision support systems (DSSs);fuzzy preferences;graph model for conflict resolution (GMCR);human behavior;systems of systems (SoS);value systems","Game theory;System of systems;Stability analysis;Analytical models;System analysis and design;Economics;Decision support systems","","41","","71","IEEE","23 Dec 2020","","","IEEE","IEEE Journals"
"Dynamics Monitoring and Disaster Assessment for Watershed Management Using Time-Series Satellite Images","J. -Y. Rau; L. -C. Chen; J. -K. Liu; T. -H. Wu","Center for Space and Remote Sensing Research, National Central University, Jhongli, Taiwan; Center for Space and Remote Sensing Research, National Central University, Jhongli, Taiwan; Energy and Environment Laboratory, Industrial Technology and Research Institute, Hsinchu, Taiwan; North Region Wate Resource Office, Lung Tan, Taiwan",IEEE Transactions on Geoscience and Remote Sensing,"29 May 2007","2007","45","6","1641","1649","This paper presents a mechanism that utilizes intensive multitemporal and multisensor satellite images to monitor land cover dynamics. The proposed approach could be applied for regular dynamics monitoring, disaster monitoring and assessment, and vegetation recovery after natural disasters. The disaster monitoring and assessment are the most important issues imbedded in the program. This paper gives an example using the proposed mechanism to cover a major watershed in Taiwan. Often natural hazards such as typhoons or earthquakes trigger landslides or debris flows, which can deliver large amounts of sediment into a reservoir, decreasing its capacity for water storage. Disaster assessment prior to decision-making and support efforts is a must. Three major typhoons that happened in 2004 and 2005 will be discussed here. The proposed mechanism is demonstrated to be feasible, practical, and effective, since with it we are able to generate disaster assessment in a shorter time than with on-site or aerial-photo surveying alone provided that intensive satellite images are available","1558-0644","","10.1109/TGRS.2007.894928","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4215085","Disaster assessment;disaster monitoring;remote sensing","Monitoring;Disaster management;Satellites;Typhoons;Vegetation mapping;Hazards;Earthquakes;Terrain factors;Sediments;Reservoirs","","38","","18","IEEE","29 May 2007","","","IEEE","IEEE Journals"
"A Bibliometric Analysis of Artificial Intelligence-Based Solutions to Challenges in Wildfire Fuel Mapping","R. U. Shaik; M. Alipour; E. Taciroglu","Civil & Environmental Engineering Dept., University of California, Los Angeles, California, USA; Civil & Environmental Engineering Dept., University of Illinois, Urbana Champaign, Illinois, USA; Civil & Environmental Engineering Dept., University of California, Los Angeles, California, USA",IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,"20 Oct 2023","2023","","","1610","1613","Wildfire fuel mapping plays a vital role in understanding and mitigating the risks associated with wildfires. This study conducts a comprehensive analysis of existing literature to investigate the prevailing trends in wildfire fuel mapping, including an analysis of the satellite sensors commonly used for fuel mapping, the predominant types of fuels mapped, the resolution of fuel maps to assess accuracy and detail, and the publication trends over the years to understand the growth and interest in the field. By leveraging AI techniques including machine learning, we review solutions to overcome challenges such as data scarcity, modalities, mapping understory vegetation, model explainability, and lack of uncertainty-aware models. This manuscript aims to serve as a reference for researchers and practitioners seeking to advance the field of wildfire fuel mapping through data-driven and AI-powered approaches.","2153-7003","979-8-3503-2010-7","10.1109/IGARSS52108.2023.10282462","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10282462","artificial intelligence;fuel mapping;remote sensing;review;wildfires","Satellites;Bibliometrics;Vegetation mapping;Machine learning;Market research;Data models;Sensors","","3","","10","IEEE","20 Oct 2023","","","IEEE","IEEE Conferences"
"A Reinforcement Learning Approach for Wildfire Tracking With UAV Swarms","C. Diaz-Vilor; A. Lozano; H. Jafarkhani","Center for Pervasive Communications and Computing, University of California at Irvine, Irvine, CA, USA; Department of Information and Communication Technologies, Universitat Pompeu Fabra (UPF), Barcelona, Spain; Center for Pervasive Communications and Computing, University of California at Irvine, Irvine, CA, USA",IEEE Transactions on Wireless Communications,"10 Apr 2025","2025","24","4","2766","2782","Suitably equipped with cameras and sensors, uncrewed aerial vehicles (UAVs) can be instrumental for wildfire prediction, tracking, and monitoring, provided that uninterrupted connectivity can be guaranteed even if some of the ground access points (APs) are damaged by the fire itself. A cell-free network structure, with UAVs connecting to a multiplicity of APs, is therefore ideal in terms of resilience. This work proposes a trajectory optimization framework for a UAV swarm tracking a wildfire while maintaining cell-free connectivity with ground APs. Such optimization entails a constant repositioning of the multiplicity of UAVs as the fire evolves to ensure that the best possible view is acquired and transmitted reliably, while respecting altitude limits, avoiding collisions, and proceeding to recharge batteries as needed. Given the complexity and time-varying nature of this multi-UAV trajectory optimization, reinforcement learning is leveraged, specifically the twin-delayed deep deterministic policy gradient algorithm. The approach is shown to be highly effective for wildfire tracking and coverage and could be likewise applicable to survey other natural and man-made phenomena, including weather events, earthquakes, or chemical spills.","1558-2248","","10.1109/TWC.2024.3524324","NSF(grant numbers:CNS-2209695); MICIU/AEI/10.13039/501100011033 through the Maria de Maeztu Units of Excellence Programme(grant numbers:CEX2021-001195-M); ICREA; Fractus-UPF Chair on 6G; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10834526","UAV;wildfire;tracking;cell-free networks;reinforcement learning;TD3","Autonomous aerial vehicles;Wildfires;Cameras;Wireless communication;Trajectory optimization;Wireless sensor networks;Monitoring;Rician channels;Lenses;Complexity theory","","5","","82","IEEE","8 Jan 2025","","","IEEE","IEEE Journals"
"A Review of Dynamic Obstacle Avoidance for Unmanned Aerial Vehicles (UAVs)","T. Wang; L. Yang; Y. Chang; Z. Huang; H. Jiang; Y. Zheng","State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China",2024 7th International Symposium on Autonomous Systems (ISAS),"13 Jun 2024","2024","","","1","6","Unmanned aerial vehicles (UAVs) have seen widespread applications, bringing new changes to many fields, such as forest fire monitoring, factory warehouse etc. Consequently, ensuring the safety of UAVs during flight missions is of paramount importance. Enhancing the capability of UAVs to avoid obstacles is important in ensuring their flight safety. While algorithms for avoiding static obstacles have been extensively studied, there is still room for improvement in the ability to avoid dynamic obstacles. This paper provides a retrospective review of research papers from recent years that focus on UAVs avoiding dynamic obstacles. It outlines the fundamental framework for UAVs to navigate around dynamic obstacles, categorizing it into three main components: environmental perception, trajectory prediction, and trajectory planning. The study summarizes various algorithms for UAVs to avoid dynamic obstacles and compares the differences of these algorithms. Finally, the aspects of dynamic obstacle avoidance that should continue to be improved are discussed.","","979-8-3503-6317-3","10.1109/ISAS61044.2024.10552526","Research and Development; National Natural Science Foundation of China; Young Scientists Fund; Youth Innovation Promotion Association; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10552526","UAVs;Dynamic Environment;Trajectory Planning;Obstacle Avoidance","Heuristic algorithms;Dynamics;Object detection;Prediction algorithms;Feature extraction;Planning;Safety","","2","","42","IEEE","13 Jun 2024","","","IEEE","IEEE Conferences"
"An optimum design and simulation of an innovative mobile robotic nurse unit to assist paraplegic patients","A. Meghdari; H. Hosseinkhannazer; A. Selkghafari","Center of Excellence in Design, Robotics and Automation, School of Mechanical Engineering, Sharif University of Technology, Tehran, Iran; Center of Excellence in Design, Robotics and Automation, School of Mechanical Engineering, Sharif University of Technology, Tehran, Iran; Center of Excellence in Design, Robotics and Automation, School of Mechanical Engineering, Sharif University of Technology, Tehran, Iran","Proceedings of the IEEE International Conference on Mechatronics, 2004. ICM '04.","13 Dec 2004","2004","","","141","147","This paper describes a nursing robot system currently under development at the Center of Excellence in Design, Robotics and Automation. Our goal was to design and fabricate of a robot specifically for paraplegic patients and the design procedure led to a plan, which can be employed in any hospital environment. Through the design procedure, the team members conducted a survey on the robot client's needs and disabilities, which provided a unique view on mechanical design features, in addition to, performing dynamical analysis on the designed mechanisms. Dynamical simulation of mechanisms helped us to find the best design and solutions as well as optimization of parts has resulted in a matchless mobile robot which can serve as nurse, rehabilitation center, physical therapist and virtual physician.","","0-7803-8599-3","10.1109/ICMECH.2004.1364427","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1364427","","Mobile robots;Rehabilitation robotics;Robotics and automation;Hospitals;Prototypes;Medical services;Medical treatment;Spinal cord injury;Cardiac disease;Cardiovascular diseases","","","","25","IEEE","13 Dec 2004","","","IEEE","IEEE Conferences"
"Integrating Technology and Environmental Policy for Effective Air Quality Monitoring in Indonesia","M. I. Sanni; R. D. Pramudya; Hery; D. A. Jamaludin; S. V. Sihotang; I. N. Hikam","Dept. of Computer Systems, University of Raharja, Tangerang, Indonesia; Dept. of Information Technology, Pandawan Sejahtera Indonesia, Tangerang, Indonesia; Dept. of Information Systems, Pelita Harapan University, Tangerang, Indonesia; Dept. of Information Technology, Bina Bangsa University, Serang, Indonesia; Dept. of Digital Business, Pandawan Sejahtera Indonesia, Tangerang, Indonesia; Dept. of Information Technology, Pandawan Sejahtera Indonesia, Tangerang, Indonesia",2024 3rd International Conference on Creative Communication and Innovative Technology (ICCIT),"8 Oct 2024","2024","","","1","6","Air quality monitoring is crucial for protecting ecosystems and public health, especially in Indonesia, a country with unique geographical and socio-economic characteristics facing complex environmental challenges. This study examines the multifaceted interactions of various factors affecting Indonesia’s air quality monitoring system, including industrial emissions, vehicular traffic, agricultural activities, and forest fires. Geographic factors like topography, wind patterns, and regional diversity significantly influence pollutant distribution and concentrations. Social and economic dimensions, such as rapid industrialization, urbanization, and population growth, also impact energy consumption patterns and air quality. This research employs a comprehensive methodological approach, combining literature review, data analysis, and the SmartPLS analytical model to understand these complexities. Data were collected from air monitoring agencies and scientific sources, focusing on variables such as industrial activity levels, traffic density, meteorological conditions, urbanization, and health impacts. The SmartPLS model was utilized to analyze complex cause- and-effect relationships between these variables. Results highlight significant variations in air quality across different regions and times, influenced by both environmental and human factors. Advanced sensor technologies and remote monitoring systems are identified as potential solutions to enhance monitoring coverage and accuracy, especially in remote areas. Collaboration between government, academia, and the private sector is emphasized as vital for developing a sustainable and effective air quality monitoring infrastructure. The study provides actionable recommendations for improving Indonesia’s air quality monitoring system, aiming to foster a cleaner and healthier environment. Enhanced monitoring can help identify and mitigate air quality issues, ensuring better public health outcomes and environmental protection.","","979-8-3503-6749-2","10.1109/ICCIT62134.2024.10701111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10701111","Air Quality;Pollution Source;SmartPLS;Indonesia;Air Quality Monitoring","Climate change;Analytical models;Urban areas;Surfaces;Air quality;Public healthcare;Protection;Socioeconomics;Monitoring;Meteorology","","","","51","IEEE","8 Oct 2024","","","IEEE","IEEE Conferences"
"Systems-of-Systems for Environmental Sustainability: A Systematic Mapping Study","A. C. A. G. da Silva; G. Teixeira; L. M. C. de Campos; R. F. Bulcão-Neto; V. V. G. Neto","State University of Goiás & Federal University of Goiás, Santa Helena de Goiás, Brazil; State University of Goiás & Federal University of Goiás, Santa Helena de Goiás, Brazil; Goiano Federal Institute & Federal University of Goiás, Goiânia, Brazil; Federal University of Goiás, Goiânia, Brazil; Federal University of Goiás, Goiânia, Brazil",2025 20th Annual System of Systems Engineering Conference (SoSE),"28 Jul 2025","2025","","","1","6","Environmental sustainability in Systems-of-Systems (SoS) is an emerging field that seeks to integrate software-intensive systems to promote the efficient management of natural resources. While systematic reviews address sustainability in the context of Smart Cities (a category of SoS), a systematic study synthesizing the existing knowledge on environmental sustainability applied to SoS in general did not exist. Although literature includes other types of sustainability, such as financial and social, this study focuses on environmental sustainability, analyzing how SoS contribute to sustainable practices such as carbon emission reduction, energy efficiency, and biodiversity conservation. We conducted a Systematic Mapping Study (SMS) to identify the application domains of SoS in sustainability, the challenges faced, and research opportunities. We planned and executed a research protocol including an automated search over four scientific databases. From a set of 926 studies retrieved, we selected, analyzed, and reported the results of 39 relevant studies. Our findings reveal that most studies focus on Smart Cities and Smart Grids, while applications such as sustainable agriculture and wildfire prevention are less explored. We identified challenges such as system interoperability, scalability, and data governance. Finally, we propose future research directions for SoS and environmental sustainability.","2835-3161","979-8-3315-1535-5","10.1109/SoSE66311.2025.11083809","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11083809","Systems-of-Systems;Sustainability;Natural Resource Management;Smart Ecosystems;Cyber-Physical Systems","Natural resources;Systematics;Wildfires;Protocols;Smart cities;Scalability;Green products;Smart grids;Sustainable development;Systematic literature review","","","","63","IEEE","28 Jul 2025","","","IEEE","IEEE Conferences"
"Toward moving public safety networks","R. Favraud; A. Apostolaras; N. Nikaein; T. Korakis","EURECOM; Centre for Research & Technology Hellas (CERTH), University of Thessaly; EURECOM; Centre for Research & Technology Hellas (CERTH), University of Thessaly",IEEE Communications Magazine,"16 Mar 2016","2016","54","3","14","20","Fourth generation LTE has been selected by U.S. federal and EU authorities to be the technology for public safety networks that would allow first responders to seamlessly communicate between agencies and across geographical locations in tactical and emergency scenarios. From Release 11 on, 3GPP has been developing and specifying dedicated nationwide public safety broadband networks that will be scalable, robust, and resilient, and can address the specific communication needs of emergency services. In this realm, the requirements and scenarios for isolated E-UTRAN with no or limited backhaul access to the core network are still in progress. In this article, we survey possible public safety use cases with the induced network topologies, discuss the current status of the 3GPP standards, and highlight future challenges. We further elaborate on the need to support mobile backhauling in moving-cell scenarios and describe two LTEbased solutions to enable dynamic meshing among the base stations.","1558-1896","","10.1109/MCOM.2016.7432142","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7432142","","Safety;Long Term Evolution;Mission critical systems;Network topology;Wireless communication;Emergency services;Mobile communication;Medical services;Spread spectrum management","","40","","10","IEEE","16 Mar 2016","","","IEEE","IEEE Magazines"
"Wireless Sensor Networks’ Challenges and Future Prospects","N. R. Patel; S. Kumar","Department of Computer Science and Engineering, Jaypee University of Engineering and Technology, Guna, India; Department of Computer Science and Engineering, Jaypee University of Engineering and Technology, Guna, India",2018 International Conference on System Modeling & Advancement in Research Trends (SMART),"27 Jun 2019","2018","","","60","65","""Application should shape and form the technology"" this statement is consistent with fact or reality for Wireless Sensor Network (WSN). WSN has become one of the technologies for the future. Advancements in communication and computing technologies make it possible to fabricate sensor nodes, which are small in size and reduced in cost and at the same time consume very less energy while operational. It is also possible to deploy them very easily. Such sensor nodes are involved in almost every field of life. These sensor nodes can cooperate with each other and can give their mutual consent to form WSN in an ad-hoc mode to achieve particular objective. WSNs are special case of wireless ad-hoc network. In this paper, overview of WSN is given before explaining wireless networks. WSNs support various monitoring and tracking applications. Details of the application domain is also given to understand the wide spectrum of applications supported by WSNs. Resource constraints pertaining to WSNs is also discussed while considering various applications. Apart from resource constraints, lower power consumption, prolonged network lifetime, accurate localization, lower delay, and lower cost are the key design requirements of WSNs. As WSN is a special case of wireless ad-hoc networks some of the challenges pertaining to ad-hoc networks are common with WSNs while due to resource constraints of WSNs some of them are not. Due to resource constraint nature of the WSNs there are few other challenges that are needed to be dealt with. These challenges are listed with its details so reader can understand how to deal with them. Finally, some open research issues are examined for further research. Applications of WSN use random deployment method as most of the time phenomenon is inaccessible and thus replacing batteries is not possible. For this reason energy is the scarce and invaluable resource for WSNs. Concern is given to this scarce resource during fabrication of sensor nodes but still energy efficiency is the prime concern for WSNs. This paper gives comprehensive review of WSN's application, challenges and its future prospects.","","978-1-5386-6369-1","10.1109/SYSMART.2018.8746937","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8746937","Wireless Sensor Network;Applications;Challenges;IEEE 802.15.4;Energy Efficiency;Sensor Nodes","Wireless sensor networks;Ad hoc networks;Wireless networks;Wires;Protocols;Buildings","","37","","35","IEEE","27 Jun 2019","","","IEEE","IEEE Conferences"
"Goal Orientation in Music Composition and Other Social Behaviors Leading to the Common Quantitative Law","N. Nan; X. Guan","MOE KLINNS Laboratory, Faculty of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; MOE KLINNS Laboratory, Faculty of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China",IEEE Transactions on Computational Social Systems,"31 Jan 2023","2023","10","1","388","402","The power-law distribution is ubiquitous and common in many natural, engineering, and social systems. In this article, we found that goal orientation is the driving reason on the power-law distribution in typical social behaviors. A unified model is constructed to formulate the goal orientation mechanism in many social systems. Three mathematical characteristics of tonal music melody are found based on music composition theory. The constrained entropy maximization model (CEMM) is constructed, and the power-law distribution of melodic intervals is the result of solving the problem formulated in this model. Three other typical power-law models in economics, linguistics/informatics, and design of complex engineering systems are reviewed, and their goal orientation behaviors are analyzed. It is found that the models quantifying different social behaviors with goal orientation are consistent with the unified model. The power law is actually the result of the well-known social distribution mechanisms with limited resources, such as the maximal wealth with limited economic capability, the minimal cost under constrained resources, and the maximal entropy with restrictions. If without limit or constraint, these social systems would not observe the power law. This finding could inspire the study on other common laws in computational social systems.","2329-924X","","10.1109/TCSS.2022.3227080","National Natural Science Foundation of China(grant numbers:62192750); Interdisciplinary Doctoral Program of Xi’an Jiaotong University(grant numbers:IDT1707); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9991250","Constrained optimization;goal orientation;music composition;power law;social system analysis","Behavioral sciences;Mathematical models;Computational modeling;Entropy;Optimization;Costs;Analytical models","","2","","92","IEEE","19 Dec 2022","","","IEEE","IEEE Journals"
"Seizure Detection using Machine Learning and Monitoring through IoT Devices","D. Sugumar; K. S. Suriya; T. Anto Michael Suraj; J. Alphonse Vimal Jose; K. Kavitha","Electronics and Communication Engineering Karunya Institute of Technology and Sciences, Coimbatore, India; Electronics and Communication Engineering Karunya Institute of Technology and Sciences, Coimbatore, India; Electronics and Communication Engineering Karunya Institute of Technology and Sciences, Coimbatore, India; Electronics and Communication Engineering Karunya Institute of Technology and Sciences, Coimbatore, India; Electronics and Communication Engineering Kumaraguru College of Technology, Coimbatore, India",2023 10th International Conference on Wireless Networks and Mobile Communications (WINCOM),"22 Nov 2023","2023","","","1","6","Rapid and erratic electrical firing in the brain is what causes seizures. This may result in momentary anomalous behaviors, movements (such as jerky, alternately stiffened arms and legs), sensations, or unconsciousness or an altered degree of consciousness. According to a survey, approximately 50 million people around the world suffer from epilepsy, making it one of the most common neurological diseases on a global scale. Despite modern pharmacological and surgical treatment options, more than a quarter of epilepsy patients experience uncontrollable seizures. Early detection of seizures aids in the prevention of SUDEP (Sudden Unexpected Death in Epilepsy) This model proposed a machine learning approach to detect the seizure. The Random Forest Classifier algorithm was used to diagnose the seizure that was brought to our attention. A pretrained model with a machine learning and supervised classification approach is built with the datasets received from the EEG (electroencephalogram) and ECG (electrocardiogram) to detect seizures in the pre-ictal stage. The model has been trained with existing datasets, and the research shows that there are several causes of epilepsy. Even if the causes differ, the solution is the same. In this case, the model predicts the seizure and alerts the hospital management, nurses, and carers before it occurs. Which would be extremely beneficial to doctors in treating it.","2769-9994","979-8-3503-2967-4","10.1109/WINCOM59760.2023.10322897","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10322897","Seizure;pre-ictal;epilepsy;SUDEP (Sudden Unexpected Death in Epilepsy);predict","Surveys;Machine learning algorithms;Wireless networks;Epilepsy;Surgery;Sensitivity and specificity;Brain modeling","","3","","20","IEEE","22 Nov 2023","","","IEEE","IEEE Conferences"
"Wildland fuel type mapping in Attica using Sentinel-2 time-series","M. Sismanis; A. Stefanidou; D. Stavrakoudis; I. Z. Gitas","Laboratory of Forest Management and Remote Sensing, School of Forestry and Natural Environment, Aristotle University of Thessaloniki, Thessaloniki, Greece; Laboratory of Forest Management and Remote Sensing, School of Forestry and Natural Environment, Aristotle University of Thessaloniki, Thessaloniki, Greece; Laboratory of Forest Management and Remote Sensing, School of Forestry and Natural Environment, Aristotle University of Thessaloniki, Thessaloniki, Greece; Laboratory of Forest Management and Remote Sensing, School of Forestry and Natural Environment, Aristotle University of Thessaloniki, Thessaloniki, Greece",2023 8th International Conference on Smart and Sustainable Technologies (SpliTech),"1 Aug 2023","2023","","","1","5","Wildland fuels are a key component in wildfire behavior modelling and wildfire prevention actions and their accurate mapping is becoming more critical, on account of the increased pressure emanating from human activities and the effects of climate change. The work presented in this manuscript aims at mapping fuels at a regional scale using a newly proposed fuel type classification system. The region of Attica in Greece was selected as the study site with an area of approximately 2,900 km2. Two fuel type maps were generated for the years 2020 and 2022, each based on a timeseries of six Sentinel-2 images with minimum cloud cover, selected in two-month intervals. The methodology proposed separates the study area into 3 land cover types, namely agricultural, urban and vegetation, and performs a classification of the area into the respective fuel types employing machine learning algorithms along with information derived from official thematic maps. The final fuel map is generated with the integration of vegetation height and density information derived from official products. To assess the accuracy of the produced map for the year 2020 the Land Use and Coverage Area frame Survey (LUCAS 2018) dataset was employed. The results display a promising accuracy of 72%, considering the first level of the hierarchical classification scheme. Our work demonstrates that accurate and adaptable maps of wildland fuels can be generated for Mediterranean complex ecosystems using a novel classification approach. Updated fuel type maps will be generated in the future, with enhanced information regarding height information in grasslands and shrublands and understory structure by means of expert knowledge or field observations.","","978-953-290-128-3","10.23919/SpliTech58164.2023.10193645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10193645","fuel type mapping;Sentinel-2 timeseries;supervised classification;vegetation categories mapping","Surveys;Climate change;Machine learning algorithms;Clouds;Biological system modeling;Ecosystems;Vegetation mapping","","4","","28","","1 Aug 2023","","","IEEE","IEEE Conferences"
"Tree Species Classification Using High-Resolution Satellite Imagery and Weakly Supervised Learning","M. Gazzea; L. M. Kristensen; F. Pirotti; E. E. Ozguven; R. Arghandeh","Department of Computer Science, Electrical Engineering and Mathematical Sciences, Western Norway University of Applied Sciences, Bergen, Norway; Department of Computer Science, Electrical Engineering and Mathematical Sciences, Western Norway University of Applied Sciences, Bergen, Norway; CIRGEO, University of Padova, Legnaro, Italy; Department of Civil and Environmental Engineering, Florida State University, Tallahassee, FL, USA; Department of Computer Science, Electrical Engineering and Mathematical Sciences, Western Norway University of Applied Sciences, Bergen, Norway",IEEE Transactions on Geoscience and Remote Sensing,"18 Oct 2022","2022","60","","1","11","Knowing vegetation type in an area is crucial for several applications, including ecology, land-use management, and infrastructure risk assessment. In combination with recent advancements in image processing, remote-sensing technology has been used to perform fast vegetation-type estimation and reduce the need for intensive and time-consuming field-based surveys. This article proposes a weakly supervised method based on deep learning to estimate tree species relying on multispectral high-resolution satellite images. We tested the approach against noisy labels, which often occur in real-world datasets. We validate our approach for a study area in Norway and Italy using images taken during different periods of the year. Our method significantly enhances the quality of the available forestry inventory dataset.","1558-0644","","10.1109/TGRS.2022.3210275","Research Council of Norway through the Project “Prediction of ignition and spread of wildfires in Scandinavia: from experiments to models (PREWISS),”(grant numbers:315870); “Disruptive Technologies for a Resilient Future (INTPART-DTRF)”(grant numbers:309448); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905623","Remote sensing;satellite imagery;tree species classification;weakly supervised learning","Vegetation;Forestry;Satellites;Random forests;Image segmentation;Noise measurement;Feature extraction","","16","","45","IEEE","28 Sep 2022","","","IEEE","IEEE Journals"
"Resiliency Assessment and Enhancement of Renewable Dominated Edge of Grid Under High-Impact Low-Probability Events—A Review","M. S. Miah; R. Shah; N. Amjady; T. Surinkaew; S. Islam","Centre for New Energy Transition Research (CfNETR), Federation University Australia, Mt Helen, VIC, Australia; Centre for New Energy Transition Research (CfNETR), Federation University Australia, Mt Helen, VIC, Australia; Centre for New Energy Transition Research (CfNETR), Federation University Australia, Mt Helen, VIC, Australia; Centre for New Energy Transition Research (CfNETR), Federation University Australia, Mt Helen, VIC, Australia; Centre for New Energy Transition Research (CfNETR), Federation University Australia, Mt Helen, VIC, Australia",IEEE Transactions on Industry Applications,"19 Sep 2024","2024","60","5","7578","7598","This research presents a detailed review of high-impact low-probability (HILP) events, like wildfires, earthquakes, windstorms, and floods, which have the potential to cause major damage to power systems. These events are inevitable and hard to predict. Moreover, the uncertainties arising from distributed renewable energy resources can decrease the effectiveness of conventional techniques that aim to enhance the power grid reliability against extreme events. This paper aims to conduct a thorough and critical evaluation of existing practices in modeling extreme events, system components, and system responses, all aiming to improve resiliency. This review serves as a crucial basis for developing modelling techniques that are not only comprehensive and accurate but also computationally efficient. Initially, the paper examines existing technologies used to model the spread of extreme events. Subsequently, it explores various approaches utilized to model the impact of these extreme events on power system components and responses. Additionally, the research addresses the gaps and challenges associated with current modeling approaches and proposes potential solutions to overcome these limitations.","1939-9367","","10.1109/TIA.2024.3410250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10551474","Enhancement strategies;high-impact low-probability events;power system operation and planning;power system resiliency;risk metric","Resilience;Power systems;Power measurement;Planning;Optimization;Power system reliability;Uncertainty","","7","","162","IEEE","6 Jun 2024","","","IEEE","IEEE Journals"
