;22nd congress of the portuguese association of operational research, apdio 2022
;should we leave now? behavioral factors in evacuation under wildfire threat
;sim2real-fire: a multi-modal simulation dataset for forecast and backtracking of real-world forest fire
;simplified coupled atmosphere-fire model for simulation of 2d wildland fires
;simulating boundary-layer rolls with a numerical weather prediction model
;simulating forest fire spread with cellular automation driven by a lstm based speed model
;simulating multiple scenarios of land use/cover change using a coupled model to capture ecological and economic effects
;simulating post-wildfire forest trajectories under alternative climate and management scenarios
;simulating the effects of irrigation over the united states in a land surface model based on satellite-derived agricultural data
;simulating the impacts of regional wildfire smoke on ozone using a coupled fire-atmosphere-chemistry model
;simulating wildfire spread based on continuous time series remote sensing images and cellular automata
;simulation and prediction of category 4 and 5 hurricanes in the high-resolution gfdl hiflor coupled climate model
;simulation and visualization of forest fire growth in an integrated 3d virtual geographical environment-a preliminary study
;simulation of a large wildfire in a coupled fire-atmosphere model
;simulation of enso in the new ncep coupled forecast system model (cfs03)
;simulation of forest fire fronts using cellular automata
;simulation of forest fire occurrence and spread based on cellular automata model
;simulation of forest fire spread based on a 3d-surface cellular automata model
;simulation of land use dynamics and impact on land surface temperature using satellite data
;simulation of monsoon intraseasonal variability in ncep cfsv2 and its role on systematic bias
;simulation of&nbsp-wildfires using eurohpc resources: challenges and&nbsp-opportunities
;simulation study of radionuclide atmospheric transport after wildland fires in the chernobyl exclusion zone in april 2020
;simulations of flaming combustion and flaming-to-smoldering transition in wildland fire spread at flame scale
;situational influences of acceptable wildland fire management actions
;small world network model validation. case study of suartone historical fire in corsica
;smart forest fire monitoring and detection system using microservices and container-based virtualization
;smart technology and fire fighting systems
;smwe-gfpnnet: a high-precision and robust method for forest fire smoke detection
;social amplification of wildfire risk: the role of social interactions and information sources
;social science research related to wildfire management: an overview of recent findings and future research needs
;socio-ecological perceptions of wildfire management and effects in greece
;socio-ecological perceptions of wildfire management and effects in greece. fire 2021, 4, 18
;software-based simulations of wildfire spread and wind-fire interaction
;soil moisture is a stronger predictor of forest fire spread potential than weather in the u.s. northern rocky mountains
;soil nitrogen dynamics three years after a severe araucaria-nothofagus forest fire
;soil organic matter turnover is governed by accessibility not recalcitrance
;soil redistribution and seed availability after fire events in mixed <i>austrocedrus chilensis</i> forests in northern patagonia (argentina)
;soil resilience assessment using soil profile descriptions and analytic hierarchy process in mediterranean mountains considering diverse fire occurrences
;soil respiration in siberian taiga ecosystems with different histories of forest fire
;soil-fire feedbacks drive the flammability of <i>miscanthus floridulus</i> in subtropical hubei, china
;some issues in modelling comprehensive situation awareness
;source-resolved black carbon and pm2.5 exposures during wildfires and prescribed burns
;sources, diffusion and prediction in covid-19 pandemic: lessons learned to face next health emergency
;spain on fire: a novel wildfire risk assessment model based on image satellite processing and atmospheric information
;spark-a bushfire spread prediction tool
;spatial decision support and multi-agent systems: application to forest fire prevention and control
;spatial interpolation of mcarthur's forest fire danger index across australia: observational study
;spatial modelling of wildland fire danger for risk analysis and conflict resolution in malaysia: linking fire danger rating systems (fdrs) with wildfire threat rating systems (wtrs)
;spatial optimization of resources deployment for forest-fire management
;spatial partition-based particle filtering for data assimilation in wildfire spread simulation
;spatial patterns of fire occurrence in the central appalachian mountains and implications for wildland fire management
;spatial prediction of wildfire susceptibility using field survey gps data and machine learning approaches
;spatial uncertainty quantification in wildfire forecasting for climate-resilient emergency planning
;spatial variability in arctic-boreal fire regimes influenced by environmental and human factors
;spatial-temporal distribution prediction of transmission corridor wildfire risk based on arima-dbn
;spatially deconflicted path generation for multiple uavs in a bounded airspace
;spatiotemporal dynamics of forest fires in the context of climate change: a review
;spatiotemporal dynamics of simulated wildfire, forest management, and forest succession in central oregon, usa
;spatiotemporal monitoring of post-fire soil erosion rates using earth observation (eo) data and cloud computing
;spotted owls and forest fire: a systematic review and meta-analysis of the evidence
;spotted owls and forest fire: comment
;spotted owls and forest fire: reply
;stakeholder and social network analysis for understanding forest (fires) management-a contribution based on a systematic literature review
;state-parameter estimation approach for data-driven wildland fire spread modeling: application to the 2012 rxcadre s5 field-scale experiment
;statistical modeling for the prediction of infectious disease dissemination with special reference to covid-19 spread
;statistically scrutinizing impact of climate variability on forest fire incidents in turkey
;strategic fire zones are essential to wildfire risk reduction in the western united states
;streamlined wildland-urban interface fire tracing (swuift): modeling wildfire spread in communities
;strong gradients in forest sensitivity to climate change revealed by dynamics of forest fire cycles in the post little ice age era
;study on the breakdown characteristics of the transmission line gap under forest fire conditions
;study on the socioeconomic and climatic effects of forest fire incidence in the changbai mountain area based on a cross-classified multilevel model
;studying wildfire behavior using firetec
;sub-network coverage method as an efficient method of wireless sensor networks for forest fire detection
;sub-seasonal forecasting with a large ensemble of deep-learning weather prediction models
;super real-time forecast of wildland fire spread by a dual-model deep learning method
;supply chain management in food chains: improving performance by reducing uncertainty
;surface wildfire regime and simulation-based wildfire exposure in the golestan national park, ne iran
;surface-layer turbulence associated with a fast spreading grass fire
;survey of wildfire effects on the peak flow characteristics
;sustainable practices in forest fire management
;symbolic meanings of wildland fire: a study of residents in the u.s. inland northwest
;synergistic approaches in forest fire risk mapping using fuzzy ahp and machine learning models in the chure tarai madhesh landscape (ctml) of nepal
;synthesis of knowledge of extreme fire behavior: volume i for fire managers
;system dynamics simulation follow-up fuzzy cognitive map for investigating the effect of risks on relief in crisis management
1;systematic literature review on the application of mathematics, statistics, and computer science in wildfire analysis
;systematic review on prediction and monitoring of climate change
;systems thinking and wildland fire management
;systems-of-systems for environmental sustainability: a systematic mapping study
;taking the next step in wildfire education: integrating multiple knowledge forms into co-produced high school fire science curricula
;tamm review: shifting global fire regimes: lessons from reburns and research needs
;tamm review: the effects of prescribed fire on wildfire regimes and impacts: a framework for comparison
;targeting audiences and content for forest fire information programs
;technical note: forest fire mapping in huay kha khaeng wildlife sanctuary, thailand
;temporal evolution of the ndvi as an indicator of forest fire danger
;ten years after the black saturday fires, what have we learnt from post-fire research?
;ten years of camera trapping for a cryptic and threatened arboreal mammal-a review of applications and limitations
;terrestrial carbon dynamics in an era of increasing wildfire
;territories in transition: how social contexts influence wildland fire adaptive capacity in rural northwestern european mediterranean areas
;territories in transition:&#xa0-how social contexts influence wildland fire adaptive capacity in rural northwestern european mediterranean areas
;testing a new ensemble model based on svm and random forest in forest fire susceptibility assessment and its mapping in serbia's tara national park
;tethered uav with combined multi-rotor and water jet propulsion for forest fire fighting
;the 1987 forest fire disaster in california: assessment of emergency room visits
;the 2017 split wildfire in croatia: evolution and the role of meteorological conditions
;the 2018 camp fire: meteorological analysis using in situ observations and numerical simulations
;the application of interactive multimedia cd-rom technology to wildland fire safety training
;the characteristics and future projections of fire danger in the areas around mega-city based on meteorological data-a case study of beijing
;the circuit of culture: a strategy for understanding the evolving human dimensions of wildland fire
;the comprehensive fire information reconciled emissions (cfire) inventory: wildland fire emissions developed for the 2011 and 2014 u.s. national emissions inventory
;the development and implementation of a human-caused wildland fire occurrence prediction system for the province of ontario, canada
;the distributed strategy for asynchronous observations in data-driven wildland fire spread prediction
;the economic cost of adverse health effects from wildfire-smoke exposure: a review
;the economic cost of adverse health effectsfrom wildfire-smoke exposure: a review
;the economics of prescribed burning: a research review
;the economics of wildfire in the united states
;the effect of climate change on forest fire danger and severity in the canadian boreal forests for the period 1976-2100
;the effects of wildfire frequency on post-fire soil surface water dynamics
;the evolution of the wildland fire decision support system (wfdss): future direction after five years of implementation
;the firework air quality forecast system with near-real-time biomass burning emissions: recent developments andevaluation of performance for the 2015 north american wildfire season
;the generation and forecast of extreme winds during the origin and progression of the 2017 tubbs fire
;the graph model for conflict resolution and decision support
;the high park fire: coupled weather-wildland fire model simulation of a windstorm-driven wildfire in colorado's front range
;the impact of a forest fire on the air pollution of an urban area: a case-study for athens, greece
;the impact of covid-19 prevention measures on interagency hotshot crews in 2020
;the impact of forest fires in the context of climate change: an interdisciplinary analysis
;the impact of fuel treatments on wildfire behavior in north american boreal fuels: a simulation study using firetec
;the impact of wildland fires on calcareous mediterranean pedosystems (sardinia, italy)-an integrated multiple approach
;the impacts of forest fires on watershed hydrological response. a review
;the importance of low-level environmental vertical wind shear to wildfire propagation: proof of concept
;the influence of an upper-level frontal zone on the mack lake wildfire environment
;the influence of housing, parcel, and neighborhood characteristics on housing survival in the marshall fire
;the influence of risk attitudes on suppression spending and on wildland fire program budgeting
;the italian national fire and rescue service activity in forest fires: the event in montegrino valtravaglia
;the large-scale wildfire spread prediction using a multi-kernel convolutional neural network
;the making of national seasonal wildfire outlooks
;the meteorology of the august 2023 maui wildfire
;the northern california wildfires of 8-9 october 2017: the role of a major downslope wind event
;the power of machine learning in forest fire risk analysis and resilience: navigating best practices, challenges, and opportunities
;the process of vegetation recovery and burn probability changes in post-burn boreal forests in northeast china
;the properties of elliptical wildfire growth for time dependent fuel and meteorological conditions
;the reburn model: simulating system-level forest succession and wildfire dynamics
;the relationship between forest fire occurrence and 500 mb longwave ridging
;the response and management of species sensitive to altered fire regimes
;the response of mammals to forest fire and timber harvest in the north american boreal forest
;the response of the invasive princess tree (paulownia tomentosa) to wildland fire and other disturbances in an appalachian hardwood forest
;the role of communication in preparation for wildland fire: a literature review
;the role of cultural fire values among the arhuaco, tikuna, uitoto, pijao, and embera-chamí indigenous peoples of colombia in promoting sustainable forest governance
;the role of fuel treatments during incident management
;the role of trust in community wildland fire protection planning
;the role of trust in residents' fire wise actions
;the role of uav-iot networks in future wildfire detection
;the rothermel surface fire spread model and associated developments: a comprehensive explanation
;the scientific value of fire in wilderness
;the simulation of surface fire spread based on rothermel model in windthrow area of changbai mountain (jilin, china)
;the spotting distribution of wild fires
1;the state of wildfire and bushfire science: temporal trends, research divisions and knowledge gaps
;the technological ecosystem of modern wildfire detection: a review
;the use of aircraft tracking gps data to develop models of the use of airtankers in forest fire management
;the use of the gis into the forest fire prediction. the simulation model
;the value of assessing public perceptions: wildland fire and defensible space
;the veld and forest fire laws of south africa
1;the wildland fire system and challenges for engineering
;thermal decomposition of vegetative fuels and the impact of measured variations on simulations of wildfire spread
;thermal infrared video stabilization for aerial monitoring of active wildfires
;thermodynamics of pyrocumulus: a conceptual study
;three dimensional forest dynamic evolution based on hydraulic erosion and forest fire disturbance
;three lines of defense for wildfire risk management in electric power grids: a review
;time aware genetic algorithm for forest fire propagation prediction: exploiting multi-core platforms
;time-dependent queueing approach to helicopter allocation for forest fire initial-attack*
;tools for assessing the impacts of climate variability and change on wildfire regimes in forests
;toward an integrated system for fire, smoke and air quality simulations
;toward improved communication about wildland fire: mental models research to identify information needs for natural resource management
;toward moving public safety networks
;towards a comprehensive dataset for next-day wildfire prediction
;towards a comprehensive look at global drivers of novel extreme wildfire events
;towards an efficient fog-based forest fire management architecture
;towards predictive data-driven simulations of wildfire spread-part ii: ensemble kalman filter for the state estimation of a front-tracking simulator of wildfire spread
;towards predictive simulation of wildfire spread at regional scale using ensemble-based data assimilation to correct the fire front position
;towards software engineering perspective for bdi agent
;toxicity of forest fire retardant chemicals to stream-type chinook salmon undergoing parr-smolt transformation
;toxicity of wildland fire retardants to rainbow trout in short exposures
;toxicity of wildland fire-fighting chemicals in pulsed exposures to rainbow trout and fathead minnows
;traditional fire uses by indigenous peoples and local communities in south america
;traffic modeling for wildland-urban interface fire evacuation
;transforming wildfire detection and prediction using new and underused sensor and data sources integrated with modeling
;transport of forest fire smoke above the tropopause by supercell convection
;travelling wave fault location in rural radial distribution networks to reduce wild fire risk
;tree injury and mortality in fires: developing process-based models
;tree species classification using high-resolution satellite imagery and weakly supervised learning
;trending and emerging prospects of physics-based and ml-based wildfire spread models: a comprehensive review
;truetrees: a scalable workflow for the integration of airborne lidar scanning data into fuel models for prescribed fire simulations
;trust-driven approach to enhance early forest fire detection using machine learning
;trying not to get burned: understanding homeowners' wildfire risk-mitigation behaviors
;turning down the heat: vegetation feedbacks limit fire regime responses to global warming
;u.s. geological survey wildland fire science strategic plan, 2021-26
;u3unet: an accurate and reliable segmentation model for forest fire monitoring based on uav vision
;uav patrolling for wildfire monitoring by a dynamic voronoi tessellation on satellite data
;uav-fdn: forest-fire detection network for unmanned aerial vehicle perspective
;ultra-lightweight convolution-transformer network for early fire smoke detection
;uncertainty and probability in wildfire management decision support
;uncertainty and probability in wildfire management decision support: an example from the united states
;uncertainty and risk in wildland fire management: a review
;uncertainty aware wildfire management
;uncertainty in model predictions of wildland fire rate of spread
;uncertainty propagation in wildland fire behaviour modelling
;uncertainty quantification of forecast error in coupled fire-atmosphere wildfire spread simulations: sensitivity to the spatial resolution
;uncharted territory: governance opportunities for wildfire management and the case of cyprus
;understanding evacuation behavior during wildfires: exploring key factors affecting evacuee behaviors and developing predictive models for decision-making
;understanding threat appraisal and protective action concerning forest fires in low-exposure regions: an application of the protective action decision model
;unmanned aerial vehicle (uav) based forest fire detection and monitoring for reducing false alarms in forest-fires
;unraveling the impact of wildfires on permafrost ecosystems: vulnerability, implications, and management strategies
;untrammeling the wilderness: restoring natural conditions through the return of human-ignited fire
;updates and revisions to the 1992 canadian forest fire behavior prediction system
;usage of gis and rs technologies in disaster management
;use of 13c to monitor soil organic matter transformations caused by a simulated forest fire
;use of spatially refined satellite remote sensing fire detection data to initialize and evaluate coupled weather-wildfire growth model simulations
;using an inventory cluster approach for assessing bushfire preparedness and information needs in vulnerable communities
;using background-oriented schlieren to visualize convection in a propagating wildland fire
;using bayesian model averaging to calibrate forecast ensembles
;using benefit transfer to estimate average relative marginal values for wildland fire program planning
;using cellular automata and multi-criteria evaluation to simulate the wildfire expansion in prince george, british co-lumbia
;using climate-fire analog mapping to inform climate change adaptation strategies for wildland fire in protected areas of the conterminous us
;using drone swarm to stop wildfire: a predict-then-optimize approach
;using dynamic data driven cyberinfrastructure for next generation disaster intelligence
;using dynamic data-driven cyberinfrastructure for next-generation wildland fire intelligence
;using flammap to assess wildfire behavior in bohemian switzerland national park
;using focus groups for knowledge sharing: tracking emerging pandemic impacts on usfs wildland fire operations
1;using iot and ml for forest fire detection, monitoring, and prediction: a literature review
;using pcaand one-stage detectors for real-time forest fire detection
;using satellite-derived fire arrival times for coupled wildfire-air quality simulations at regional scales of the 2020 california wildfire season
;using simulation to map fire regimes: an evaluation of approaches, strategies, and limitations
;using simulations to support students’ conceptual development related to wildfire hazards and risks from an experiential learning perspective
;using soil moisture information to better understand and predict wildfire danger: a review of recent developments and outstanding questions
;using wind data to predict wildfire spread in central california
;using wireless multimedia sensor networks to enhance early forest fire detection
;utilizing deep learning and spatial analysis for accurate forest fire occurrence forecasting in the central region of china
;utilizing modis remote sensing and integrated data for forest fire spread modeling in the southwest region of canada
;validating a landscape metric to map fire exposure to hazardous fuels in portugal
;validating the effect of fuel moisture content by a multivalued operator in a simplified physical fire spread model
;validation of farsite model in mediterranean area
;validity of parameter optimization in improving mjo simulation and prediction using the sub-seasonal to seasonal forecast model of beijing climate center
;variation of forest fire danger due to frontal passages
;vegetation classification and a biomass inversion model for wildfires in chongli based on remote sensing data
;vegetation regrowth after a differential intensity forest fire in a mediterranean environment, northeast spain
;vegetation, fuels, and fire-behavior responses to linear fuel-break treatments in and around burned sagebrush steppe: are we breaking the grass-fire cycle?
;vehicle motion prediction at intersections based on the turning intention and prior trajectories model
;verification &amp-validation of an agent-based forest fire simulation model
;vi-net: a hybrid semantic segmentation approach for enhanced wildfire spread prediction
;virtual reality oriented modeling and simulation of amphibious aircraft forest fire extinguishing mission scene
;vision-based forest fire detection using machine learning
;visitor preferences and human-caused wildfire prevention: a survey of public land users in the us southwest
;visualization and modeling of forest fire propagation in patagonia
;visualization of 3d forest fire spread based on the coupling of multiple weather factors
;visualization of local wind field based forest-fire’s forecast modeling for transportation planning
;visualization of the occurrence and spread of wildfires in three-dimensional natural scenes: visualization of the occurrence
;visualization tools for assessing the markov property: sojourn times in the forest fire weather index in ontario
;voices from the field: wildland fire managers and high-reliability organizing mindfulness
;waste crisis and potential implications of forest fires: perspective from psychosocial cognition
;weather and fuel as modulators of grassland fire behavior in the northern great plains
;weather conditions and forest fire propagation-the case of the carmel fire, december 2010
;web cellular automata: a forest fire modeling approach and prototype tool
;west coast forecast challenges and development of atmospheric river reconnaissance
;west virginia wildland fire as latent social discontent
;wfnet: a hierarchical convolutional neural network for wildfire spread prediction
;what applied social psychology theories might contribute to community bushfire safety research after victoria's ``black saturday{''}
;what applied social psychology theories might contribute to community bushfire safety research after victoria's black saturday
;what are we protecting out here? a political ecology of forest, fire, and fuels management in utah's wildland-urban interface
;what do we know about forest fire size distribution, and why is this knowledge useful for forest management?
;what is a fire resilient landscape? towards an integrated definition
;who framed the forest fire? state framing and peasant counter-framing of anthropogenic forest fires in spain since 1940
;why trust science?-naomi oreskes (princeton, nj, usa: princeton univ. press, 2019, 360 pp.)
;widespread and systematic effects of fire on plant-soil water relations
;wild fire resistant tobacco plants obtained from calluses cultivated on a tabtoxin containing medium
;wild forest fire regime following land abandonment in the mediterranean region
;wildfire and climate change adaptation of western north american forests: a case for intentional management
;wildfire and family forest owners: concern, advice, and wildfire reduction behaviors from the united states national woodland owner survey
;wildfire and forest management: opportunities for hci research
;wildfire and power grid nexus in a changing climate
;wildfire autonomous response and prediction using cellular automata (warp-ca)
1;wildfire behaviour and danger ratings
;wildfire detection based on satellite images using deep learning
;wildfire detection with deep learning-a case study for the ciclope project
1;wildfire detection: review of emerging technologies and methodologies
;wildfire emission modeling: integrating bluesky and smoke
;wildfire fuels mapping through artificial intelligence-based methods: a review
;wildfire growth modelling on heterogeneous landscapes for fire prevention: a case study of sonoma county
;wildfire impacts on security of electric power systems: a survey of risk identification and mitigation approaches
;wildfire likelihood's elements: a literature review
;wildfire management decisions outweigh mechanical treatment as the keystone to forest landscape adaptation
;wildfire management in canada: review, challenges and opportunities
;wildfire management in the united states: the evolution of a policy failure
;wildfire path prediction spread using machine learning
;wildfire policy and fire use on public lands in the united states
;wildfire policy and public lands: integrating scientific understanding with social concerns across landscapes
;wildfire prediction and spread detection
;wildfire prediction to inform fire management: statistical science challenges
;wildfire prediction: handling uncertainties using integrated bayesian networks and fuzzy logic
;wildfire preparedness, community cohesion and social-ecological systems
;wildfire progression prediction and validation using satellite data and remote sensing in sonoma, california
;wildfire pyroconvection and cape: buoyancy’s drying and atmospheric intensification-fort mcmurray
;wildfire risk in the wildland-urban interface: a simulation study in northwestern wisconsin
;wildfire risk perception survey: insights from local communities in tuscany, italy
1;wildfire risk prediction: a review
;wildfire spread forecasting with deep learning
;wildfire spread prediction and assimilation for farsite using ensemble kalman filtering
;wildfire spread prediction in north america using satellite imagery and vision transformer
;wildfire spread prediction model calibration using metaheuristic algorithms
;wildfire spread prediction through remote sensing and uav imagery-driven machine learning models
;wildfire spread prediction using attention mechanisms in u-net
;wildfire spread prediction using attention mechanisms in u2-net
;wildfire spread prediction using geostationary satellite observation data and directional ros adjustment factor
;wildfire spread prediction using machine learning algorithms
;wildfire spreading prediction using multimodal data and deep neural network approach
;wildfire suppression cost forecasts for the us forest service
;wildfire towers drive firebrand lofting: insights from coupled fire-atmosphere model simulations
;wildfire-vegetation dynamics affect predictions of climate change impact on bird communities
;wildfiredb: an open-source dataset connecting wildfire spread with relevant determinants
;wildfires, responsibility and trust: public understanding of sweden's largest wildfire
;wildfirespreadts: a dataset of multi-modal time series for wildfire spread prediction
;wildland and forest fire prediction in thailand using satellite data
;wildland fire and organic discourse: negotiating place and leisure identity in a changing wildland urban interface
;wildland fire as a self-regulating mechanism: the role of previous burns and weather in limiting fire progression
;wildland fire ash: production, composition and eco-hydro-geomorphic effects
;wildland fire behaviour case studies and fuel models for landscape-scale fire modeling
;wildland fire deficit and surplus in the western united states, 1984-2012
;wildland fire detection and monitoring using a drone-collected rgb/ir image dataset
;wildland fire disturbance-recovery dynamics in upland forests at acadia national park, maine
;wildland fire effects on forest structure over an altitudinal gradient, grand canyon national park, usa
;wildland fire emissions, carbon and climate: characterizing wildland fuels
;wildland fire emissions, carbon, and climate: emission factors
;wildland fire emissions, carbon, and climate: science overview and knowledge needs
;wildland fire emissions, carbon, and climate: wildfire-climate interactions
;wildland fire emissions, carbon, and climate: wildland fire detection and burned area in the united states
;wildland fire fuels database for corsican-mediterranean forest stand types
;wildland fire governance: perspectives from greece
;wildland fire impacts on mercury in fish
;wildland fire management as conservation-based development: an opportunity for reservation communities?
;wildland fire management for the 21st century: evolving applications and capabilities
;wildland fire mid-story: a generative modeling approach for representative fuels
;wildland fire mitigation networks in the western united states
;wildland fire prevention: a review
;wildland fire risk and social vulnerability in the southeastern united states: an exploratory spatial data analysis approach
;wildland fire risk research in canada
;wildland fire smoke and human health
;wildland fire spread by radiation-a model including fuel cooling by natural convection
;wildland fire spread modeling using convolutional neural networks
;wildland firefighter deaths in the united states: a comparison of existing surveillance systems
;wildland firefighter safety zones: a review of past science and summary of future needs
;wildland fuel type mapping in attica using sentinel-2 time-series
1;wildland surface fire spread modelling, 1990-2007. 1: physical and quasi-physical models
1;wildland surface fire spread modelling, 1990-2007. 2: empirical and quasi-empirical models
1;wildland surface fire spread modelling, 1990-2007. 3: simulation and mathematical analogue models
;wildland-urban interface (wui) fire modelling using phoenix rapidfire: a case study in cavaillon, france
;will fire-smart landscape management buffer the effects of climate and land-use changes on fire regimes?
;wind and fire coupled modelling-part i: literature review
;wind effect on wildfire and simulation of its spread (case study: siahkal forest in northern iran)
;wind-terrain effects on the propagation of wildfires in rugged terrain: fire channelling
;wireless sensor networks’ challenges and future prospects
;women's invisible work in disaster contexts: gender norms in speech on women's work after a forest fire in sweden
;wrf-fire: coupled weather-wildland fire modeling with the weather research and forecasting model
;yolo11-rln: an aerial uav algorithm for forest fire detection
;zebrafish irritant responses to wildland fire-related biomass smoke are influenced by fuel type, combustion phase, and byproduct chemistry
